settlement_date,settlement_type,opening_day,prev_day,opening_price,prev_close,trend_indicator,direction,settlement_open,settlement_close,pnl_pct,is_red_candle,is_high_open,body_ratio,trend_direction
2024-05-08,weekly,2024-05-02,2024-05-07,19897,19859,-38,short,19778,19919,-0.7129133380523814,False,False,0.6329113924050633,down
2024-05-15,monthly,2024-05-09,2024-05-14,19733,19747,14,long,19880,19857,-0.11569416498993963,False,True,0.5022222222222222,up
2024-05-22,weekly,2024-05-16,2024-05-21,20048,20206,158,long,20256,20231,-0.12342022116903634,False,True,0.3898305084745763,up
2024-05-29,weekly,2024-05-23,2024-05-28,20221,20261,40,long,20205,20140,-0.32170254887404104,True,False,0.5428571428571428,up
2024-06-05,weekly,2024-05-30,2024-06-04,20238,20211,-27,short,20393,20288,0.5148825577404011,True,True,0.16666666666666666,down
2024-06-12,weekly,2024-06-06,2024-06-11,20287,20349,62,long,20539,20451,-0.4284531866205755,False,True,0.14583333333333334,up
2024-06-19,monthly,2024-06-13,2024-06-18,20404,20505,101,long,20822,20851,0.1392757660167131,True,True,0.4253731343283582,up
2024-06-26,weekly,2024-06-20,2024-06-25,20885,20755,-130,short,20728,20768,-0.19297568506368198,True,False,0.07874015748031496,down
2024-07-03,weekly,2024-06-27,2024-07-02,20544,20290,-254,short,19942,20238,-1.4843044830007022,False,False,0.6227544910179641,down
2024-07-10,weekly,2024-07-04,2024-07-09,19926,19546,-380,short,20380,19998,1.8743866535819431,False,True,0.44613050075872535,down
2024-07-17,monthly,2024-07-11,2024-07-16,19620,19684,64,long,19930,20170,1.2042147516307076,True,True,0.5296610169491526,up
2024-07-24,weekly,2024-07-18,2024-07-23,19690,20178,488,long,19883,20130,1.242267263491425,True,False,0.25870646766169153,up
2024-07-31,weekly,2024-07-25,2024-07-30,20350,20505,155,long,20250,20291,0.20246913580246914,False,False,0.1554054054054054,up
2024-08-07,weekly,2024-08-01,2024-08-06,20445,20602,157,long,20366,20682,1.5516056172051458,False,False,0.5460526315789473,up
2024-08-14,weekly,2024-08-08,2024-08-13,20733,20627,-106,short,20707,20612,0.45878205437774666,False,True,0.37333333333333335,down
2024-08-21,monthly,2024-08-15,2024-08-20,20750,20883,133,long,20834,20948,0.547182490160315,False,False,0.44696969696969696,up
2024-08-28,weekly,2024-08-22,2024-08-27,20892,21170,278,long,21465,21370,-0.4425809457255998,True,True,0.6523605150214592,up
2024-09-04,weekly,2024-08-29,2024-09-03,21244,21302,58,long,21346,21388,0.19675817483369248,False,True,0.4006024096385542,up
2024-09-11,weekly,2024-09-05,2024-09-10,21324,21311,-13,short,21630,21604,0.12020342117429496,True,True,0.38666666666666666,down
2024-09-18,monthly,2024-09-12,2024-09-17,21576,21875,299,long,21560,21655,0.4406307977736549,True,False,0.7824427480916031,up
2024-09-25,weekly,2024-09-19,2024-09-24,21892,21919,27,long,21512,21391,-0.5624767571587951,False,False,0.27007299270072993,up
2024-10-02,weekly,2024-09-26,2024-10-01,21722,21654,-68,short,21287,21353,-0.31004838633908016,True,False,0.6751824817518248,down
2024-10-09,weekly,2024-10-03,2024-10-08,21560,21302,-258,short,21825,21875,-0.22909507445589922,True,True,0.08040201005025126,down
