契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價差對單式委託成交量
TX,202406  ,22726,22812,22666,22786,309,1.37%,98310.0,22786,29985,22783,22784,22812,16016,,
TX,202406  ,22489,22767,22482,22734,257,1.14%,56101.0,-,-,22733,22734,22767,16016,,
TX,202406  ,22956,23291,22940,23225,439,1.93%,79725.0,0,15948,23225,23226,23291,16016,,
TX,202406  ,22785,23008,22774,22947,161,0.71%,57576.0,-,-,22941,22947,23008,16016,,
TX,202407  ,23153,23380,23106,23378,243,1.05%,90192.0,23377,79838,23378,23379,23380,19165,,
TX,202407  ,23150,23228,23085,23144,9,0.04%,40683.0,-,-,23135,23146,23228,19165,,
TX,202407  ,23034,23291,23025,23210,-167,-0.71%,98199.0,23207,79392,23207,23210,23400,19165,,
TX,202407  ,23354,23400,22974,23058,-319,-1.36%,93075.0,-,-,23054,23060,23400,19165,,
TX,202407  ,23050,23073,22708,22746,-461,-1.99%,125022.0,22754,77031,22746,22750,23400,19165,,
TX,202407  ,23198,23211,22700,23030,-177,-0.76%,95856.0,-,-,23030,23031,23400,19165,,
TX,202407  ,22608,22776,22410,22743,-11,-0.05%,126047.0,22747,76265,22741,22743,23400,19165,,
TX,202407  ,22768,22850,22572,22590,-164,-0.72%,76947.0,-,-,22586,22597,23400,19165,,
TX,202407  ,22806,23005,22744,22872,125,0.55%,113347.0,22876,80383,22870,22872,23400,19165,,
TX,202407  ,22722,22819,22611,22816,69,0.30%,57595.0,-,-,22809,22816,23400,19165,,
TX,202407  ,22614,22822,22555,22793,-83,-0.36%,83796.0,22797,78201,22793,22794,23400,19165,,
TX,202407  ,22870,22938,22612,22685,-191,-0.83%,77898.0,-,-,22681,22690,23400,19165,,
TX,202407  ,22908,23117,22793,22983,186,0.82%,103428.0,22980,81762,22983,22984,23400,19165,,
TX,202407  ,22810,22967,22751,22858,61,0.27%,72131.0,-,-,22857,22858,23400,19165,,
TX,202407  ,22960,23166,22938,22991,11,0.05%,83651.0,22993,82025,22990,22991,23400,19165,,
TX,202407  ,22978,23104,22850,22945,-35,-0.15%,69865.0,-,-,22945,22947,23400,19165,,
TX,202407  ,22838,22993,22717,22831,-162,-0.70%,104985.0,22835,80084,22830,22832,23400,19165,,
TX,202407  ,23000,23013,22800,22917,-76,-0.33%,66816.0,-,-,22917,22920,23400,19165,,
TX,202407  ,23073,23188,22981,23185,350,1.53%,83985.0,23183,82758,23185,23186,23400,19165,,
TX,202407  ,22820,23096,22752,23051,216,0.95%,64970.0,-,-,23049,23053,23400,19165,,
TX,202407  ,23487,23626,23461,23624,441,1.90%,88198.0,23621,83790,23624,23625,23626,19165,,
TX,202407  ,23202,23494,23171,23470,287,1.24%,62182.0,-,-,23467,23470,23494,19165,,
TX,202407  ,23659,23677,23526,23570,-51,-0.22%,60596.0,23571,82017,23569,23572,23697,19165,,
TX,202407  ,23626,23697,23565,23608,-13,-0.06%,33364.0,-,-,23608,23615,23697,19165,,
TX,202407  ,23545,23994,23512,23913,342,1.45%,107009.0,23909,85253,23911,23913,23994,19165,,
TX,202407  ,23581,23673,23461,23563,-8,-0.03%,53890.0,-,-,23565,23567,23697,19165,,
TX,202407  ,23945,24092,23624,23878,-31,-0.13%,130797.0,23881,83035,23879,23882,24092,19165,,
TX,202407  ,23912,24053,23812,23868,-41,-0.17%,59905.0,-,-,23868,23870,24053,19165,,
TX,202407  ,23759,24014,23702,24000,119,0.50%,106474.0,24002,83357,24001,24004,24092,19165,,
TX,202407  ,23856,23874,23710,23766,-115,-0.48%,48746.0,-,-,23761,23775,24092,19165,,
TX,202407  ,24251,24405,24160,24367,365,1.52%,93552.0,24371,82254,24367,24370,24405,19165,,
TX,202407  ,24010,24252,23996,24251,249,1.04%,60251.0,-,-,24247,24251,24252,19165,,
TX,202407  ,24038,24070,23784,23808,-563,-2.31%,115064.0,23814,76346,23807,23810,24449,19165,,
TX,202407  ,24346,24449,23981,24049,-322,-1.32%,100023.0,-,-,24047,24050,24449,19165,,
TX,202407  ,24091,24112,23756,23853,39,0.16%,128376.0,23851,51912,23850,23853,24449,19165,,
TX,202407  ,23820,24184,23790,24055,241,1.01%,84470.0,-,-,24043,24051,24449,19165,,
TX,202407  ,23830,24182,23824,24002,151,0.63%,129269.0,23994,31964,23998,24002,24449,19165,,
TX,202407  ,23877,24038,23711,23780,-71,-0.30%,76267.0,-,-,23770,23780,24449,19165,,
TX,202407  ,23980,24000,23647,23679,-315,-1.31%,82666.0,0,16600,23677,23679,24449,19165,,
TX,202407  ,23985,24086,23904,24064,70,0.29%,56544.0,-,-,24060,24065,24449,19165,,
TX,202408  ,23294,23444,23154,23383,-396,-1.67%,126201.0,23387,84604,23382,23386,24442,20959,,
TX,202408  ,23703,23733,23195,23238,-541,-2.28%,98066.0,-,-,23236,23239,24442,20959,,
TX,202408  ,23148,23185,22853,22909,-478,-2.04%,126482.0,22907,81798,22907,22909,24442,20959,,
TX,202408  ,23519,23592,22872,23050,-337,-1.44%,169050.0,-,-,23050,23054,24442,20959,,
TX,202408  ,22859,22906,22184,22379,-528,-2.30%,177941.0,22374,85117,22373,22380,24442,20959,,
TX,202408  ,22878,23009,22692,22785,-122,-0.53%,106983.0,-,-,22783,22785,24442,20959,,
TX,202408  ,22600,22871,22571,22830,456,2.04%,95310.0,22835,81335,22829,22830,24442,20959,,
TX,202408  ,22399,22688,22366,22647,273,1.22%,72294.0,-,-,22640,22643,24442,20959,,
TX,202408  ,22028,22156,21918,22095,-740,-3.24%,121567.0,22096,80936,22087,22095,24442,20959,,
TX,202408  ,22828,22866,22674,22720,-115,-0.50%,70956.0,-,-,22719,22721,24442,20959,,
TX,202408  ,22430,22519,22146,22261,165,0.75%,99245.0,22256,80737,22261,22262,24442,20959,,
TX,202408  ,22080,22345,22076,22253,157,0.71%,74534.0,-,-,22240,22254,24442,20959,,
TX,202408  ,21933,22299,21809,22246,-10,-0.04%,126029.0,22252,81657,22246,22248,24442,20959,,
TX,202408  ,22243,22266,21884,22001,-255,-1.15%,74452.0,-,-,22001,22006,24442,20959,,
TX,202408  ,22050,22348,22013,22290,38,0.17%,109982.0,22284,80444,22287,22290,24442,20959,,
