契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價差對單式委託成交量
TX,202410  ,22599,22834,22542,22791,213,0.94%,53356.0,-,-,22787,22791,23578,18900,,
TX,202410  ,22829,23047,22794,22912,213,0.94%,69251.0,22911,77427,22912,22915,23578,18900,,
TX,202410  ,22666,22836,22569,22789,90,0.40%,51693.0,-,-,22784,22790,23578,18900,,
TX,202410  ,22987,23049,22818,23008,97,0.42%,85874.0,23005,51580,23008,23012,23578,18900,,
TX,202410  ,22911,23076,22817,23040,129,0.56%,40044.0,-,-,23035,23040,23578,18900,,
TX,202410  ,23168,23386,23101,23225,220,0.96%,79192.0,23228,32192,23224,23226,23578,18900,,
TX,202410  ,23050,23196,23017,23160,155,0.67%,36452.0,-,-,23157,23160,23578,18900,,
TX,202410  ,22897,23203,22855,22986,-242,-1.04%,47339.0,0,17616,22986,22987,23578,18900,,
TX,202410  ,23211,23262,22809,22870,-358,-1.54%,63237.0,-,-,22871,22877,23578,18900,,
TX,202411  ,23142,23277,23005,23256,195,0.85%,75826.0,23256,71693,23256,23258,23441,20599,,
TX,202411  ,23059,23248,23025,23175,114,0.49%,43348.0,-,-,23172,23176,23441,20599,,
TX,202411  ,23820,23840,23527,23657,401,1.72%,90326.0,23657,74956,23658,23659,23988,20599,,
TX,202411  ,23497,23988,23450,23884,628,2.70%,90663.0,-,-,23884,23886,23988,20599,,
TX,202411  ,23810,23836,23566,23567,-90,-0.38%,53481.0,23574,74766,23570,23575,23988,20599,,
TX,202411  ,23686,23883,23686,23725,68,0.29%,47207.0,-,-,23725,23727,23988,20599,,
TX,202411  ,23560,23637,23332,23633,59,0.25%,70377.0,23621,72949,23629,23633,23988,20599,,
TX,202411  ,23560,23688,23431,23660,86,0.36%,56166.0,-,-,23655,23668,23988,20599,,
TX,202411  ,23498,23511,23336,23406,-215,-0.91%,65409.0,23409,72810,23403,23407,23988,20599,,
TX,202411  ,23611,23667,23476,23561,-60,-0.25%,46553.0,-,-,23560,23566,23988,20599,,
TX,202411  ,23383,23449,23203,23304,-105,-0.45%,73038.0,23290,71208,23301,23304,23988,20599,,
TX,202411  ,23402,23465,23133,23300,-109,-0.47%,68271.0,-,-,23300,23303,23988,20599,,
TX,202411  ,23270,23487,23252,23481,191,0.82%,57307.0,23476,74207,23479,23481,23988,20599,,
TX,202411  ,23290,23421,23206,23287,-3,-0.01%,45408.0,-,-,23274,23287,23988,20599,,
TX,202411  ,23650,23657,23216,23326,-150,-0.64%,84796.0,23322,74614,23320,23327,23988,20599,,
TX,202411  ,23461,23709,23461,23551,75,0.32%,52029.0,-,-,23547,23551,23988,20599,,
TX,202411  ,23137,23148,22693,22976,-346,-1.48%,107580.0,22979,74625,22975,22976,23988,20599,,
TX,202411  ,23334,23386,23123,23168,-154,-0.66%,48705.0,-,-,23164,23176,23988,20599,,
TX,202411  ,23072,23145,22845,22904,-75,-0.33%,63255.0,22901,73683,22901,22904,23988,20599,,
TX,202411  ,23016,23138,22879,23055,76,0.33%,48737.0,-,-,23045,23055,23988,20599,,
TX,202411  ,22397,22822,22232,22753,-148,-0.65%,87411.0,22767,71644,22753,22756,23988,20599,,
TX,202411  ,22939,22996,22635,22700,-201,-0.88%,63036.0,-,-,22699,22700,23988,20599,,
TX,202411  ,22767,23046,22700,23041,274,1.20%,65879.0,23036,72446,23037,23040,23988,20599,,
TX,202411  ,22756,22986,22692,22781,14,0.06%,51790.0,-,-,22780,22782,23988,20599,,
TX,202411  ,22808,23239,22782,23135,99,0.43%,73010.0,23137,72684,23136,23142,23988,20599,,
TX,202411  ,23039,23107,22801,22848,-188,-0.82%,49475.0,-,-,22847,22855,23988,20599,,
TX,202411  ,23250,23448,23051,23324,187,0.81%,102643.0,23319,74000,23324,23327,23988,20599,,
TX,202411  ,23136,23346,23047,23250,113,0.49%,46978.0,-,-,23248,23249,23988,20599,,
TX,202411  ,23183,23576,23085,23532,213,0.91%,78519.0,23525,75116,23533,23534,23988,20599,,
TX,202411  ,23385,23475,22938,23241,-78,-0.33%,81016.0,-,-,23240,23248,23988,20599,,
TX,202411  ,23772,23794,23528,23781,256,1.09%,71139.0,23774,73378,23779,23781,23988,20599,,
TX,202411  ,23555,23744,23478,23741,216,0.92%,40523.0,-,-,23736,23742,23988,20599,,
TX,202411  ,23555,23632,23309,23573,-201,-0.85%,71558.0,23572,74767,23573,23575,23988,20599,,
TX,202411  ,23758,23840,23494,23564,-210,-0.88%,61076.0,-,-,23564,23565,23988,20599,,
TX,202411  ,23013,23242,22863,22869,-703,-2.98%,84421.0,22875,73649,22868,22870,23988,20599,,
TX,202411  ,23554,23564,22958,23114,-458,-1.94%,63036.0,-,-,23109,23120,23988,20599,,
TX,202411  ,22755,23015,22730,22783,-92,-0.40%,73177.0,22786,70949,22779,22783,23988,20599,,
TX,202411  ,22871,22926,22572,22835,-40,-0.17%,72717.0,-,-,22830,22839,23988,20599,,
TX,202411  ,22786,22880,22576,22684,-102,-0.45%,86815.0,22692,70720,22680,22685,23988,20599,,
TX,202411  ,22840,23078,22674,22805,19,0.08%,73131.0,-,-,22802,22810,23988,20599,,
TX,202411  ,22710,22930,22684,22759,67,0.30%,71504.0,22762,68388,22758,22760,23988,20599,,
TX,202411  ,22649,22879,22592,22708,16,0.07%,53368.0,-,-,22704,22707,23988,20599,,
TX,202411  ,22654,22789,22544,22574,-188,-0.83%,93348.0,22573,45523,22572,22577,23988,20599,,
TX,202411  ,22733,22832,22470,22550,-212,-0.93%,55490.0,-,-,22550,22556,23988,20599,,
TX,202411  ,22641,22995,22592,22850,277,1.23%,90975.0,22848,22530,22849,22850,23988,20599,,
TX,202411  ,22588,22659,22339,22622,49,0.22%,53649.0,-,-,22622,22623,23988,20599,,
TX,202411  ,22906,22956,22668,22686,-162,-0.71%,40197.0,0,12357,22686,22687,23988,20599,,
TX,202411  ,22874,22929,22654,22858,10,0.04%,56943.0,-,-,22851,22860,23988,20599,,
TX,202412  ,22647,22733,22514,22573,-206,-0.90%,74026.0,22575,76311,22571,22578,24463,16885,,
TX,202412  ,22805,22822,22496,22746,-33,-0.14%,55520.0,-,-,22745,22749,24463,16885,,
TX,202412  ,22811,23066,22780,23038,463,2.05%,71376.0,23032,75719,23035,23038,24463,16885,,
TX,202412  ,22588,22837,22393,22801,226,1.00%,91974.0,-,-,22794,22800,24463,16885,,
TX,202412  ,23254,23287,23014,23066,34,0.15%,61805.0,23062,81318,23063,23066,24463,16885,,
TX,202412  ,23064,23137,22976,23052,20,0.09%,46783.0,-,-,23045,23051,24463,16885,,
TX,202412  ,22710,22845,22615,22636,-426,-1.85%,68259.0,22634,81107,22636,22638,24463,16885,,
TX,202412  ,23021,23030,22775,22855,-207,-0.90%,48363.0,-,-,22850,22855,24463,16885,,
TX,202412  ,22600,22690,22341,22347,-287,-1.27%,67320.0,22352,81400,22343,22348,24463,16885,,
TX,202412  ,22622,22762,22493,22651,17,0.08%,50607.0,-,-,22647,22652,24463,16885,,
TX,202412  ,22302,22385,22117,22337,-15,-0.07%,75167.0,22330,81045,22335,22337,24463,16885,,
TX,202412  ,22395,22468,22047,22268,-84,-0.38%,62298.0,-,-,22269,22273,24463,16885,,
TX,202412  ,22210,22438,22004,22313,-17,-0.08%,84632.0,22307,79496,22309,22311,24463,16885,,
TX,202412  ,22333,22333,22183,22277,-53,-0.24%,21722.0,-,-,22276,22280,24463,16885,,
TX,202412  ,22530,22828,22498,22827,520,2.33%,61921.0,22822,78718,22825,22828,24463,16885,,
TX,202412  ,22297,22579,22160,22548,241,1.08%,55241.0,-,-,22543,22547,24463,16885,,
TX,202412  ,23152,23191,22999,23112,290,1.27%,64384.0,23111,77052,23110,23112,24463,16885,,
TX,202412  ,22832,23129,22803,23102,280,1.23%,41164.0,-,-,23103,23104,24463,16885,,
TX,202412  ,23200,23296,23071,23294,183,0.79%,52064.0,23286,75381,23294,23295,24463,16885,,
TX,202412  ,23086,23187,22936,23166,55,0.24%,55006.0,-,-,23165,23166,24463,16885,,
TX,202412  ,23260,23328,23211,23251,-35,-0.15%,45283.0,23252,74237,23251,23259,24463,16885,,
TX,202412  ,23275,23365,23184,23317,31,0.13%,38809.0,-,-,23316,23324,24463,16885,,
TX,202412  ,23321,23360,23134,23179,-73,-0.31%,60688.0,23180,73146,23175,23179,24463,16885,,
TX,202412  ,23268,23453,23241,23346,94,0.40%,32696.0,-,-,23343,23346,24463,16885,,
TX,202412  ,23193,23287,23170,23249,69,0.30%,47014.0,23250,73376,23249,23254,24463,16885,,
TX,202412  ,23210,23328,23172,23252,72,0.31%,36462.0,-,-,23250,23252,24463,16885,,
TX,202412  ,23228,23337,23026,23090,-160,-0.69%,70540.0,23078,74389,23087,23091,24463,16885,,
TX,202412  ,23235,23477,23216,23219,-31,-0.13%,47438.0,-,-,23216,23221,24463,16885,,
TX,202412  ,22887,23055,22824,22848,-230,-1.00%,60252.0,22847,76378,22847,22849,24463,16885,,
TX,202412  ,23081,23144,22841,22850,-228,-0.99%,47047.0,-,-,22842,22850,24463,16885,,
TX,202412  ,23004,23211,23003,23107,260,1.14%,59344.0,23107,77376,23106,23109,24463,16885,,
TX,202412  ,22864,23063,22800,23044,197,0.86%,39846.0,-,-,23038,23044,24463,16885,,
TX,202412  ,22996,23092,22888,22986,-121,-0.52%,64309.0,22984,73029,22985,22988,24463,16885,,
TX,202412  ,23107,23142,22850,22899,-208,-0.90%,45772.0,-,-,22896,22899,24463,16885,,
TX,202412  ,23220,23270,22946,22961,-23,-0.10%,95042.0,22966,44146,22960,22961,24463,16885,,
TX,202412  ,22999,23226,22933,23148,164,0.71%,50098.0,-,-,23147,23150,24463,16885,,
TX,202412  ,23105,23215,23024,23031,65,0.28%,77090.0,23030,27667,23030,23033,24463,16885,,
TX,202412  ,22987,23173,22962,23113,147,0.64%,36868.0,-,-,23112,23115,24463,16885,,
TX,202412  ,22937,23200,22902,23105,75,0.33%,44222.0,0,12952,23104,23105,24463,16885,,
TX,202412  ,23025,23029,22836,22961,-69,-0.30%,42129.0,-,-,22961,22963,24463,16885,,
TX,202501  ,22747,22906,22718,22849,-330,-1.42%,72523.0,22852,72346,22849,22853,23996,22039,,
TX,202501  ,23196,23386,22602,22698,-481,-2.08%,63190.0,-,-,22690,22698,23996,22039,,
TX,202501  ,22767,22793,22590,22635,-217,-0.95%,75535.0,22631,71133,22633,22635,23996,22039,,
TX,202501  ,22859,22972,22793,22808,-44,-0.19%,52480.0,-,-,22805,22808,23996,22039,,
TX,202501  ,22904,23245,22899,23242,611,2.70%,67589.0,23233,73230,23240,23242,23996,22039,,
TX,202501  ,22677,22966,22519,22893,262,1.16%,67657.0,-,-,22887,22891,23996,22039,,
TX,202501  ,23430,23459,23187,23216,-17,-0.07%,47581.0,23201,72189,23213,23215,23996,22039,,
TX,202501  ,23249,23445,23145,23444,211,0.91%,49944.0,-,-,23440,23444,23996,22039,,
TX,202501  ,23340,23349,23240,23329,128,0.55%,32836.0,23326,72934,23327,23330,23996,22039,,
TX,202501  ,23232,23376,23204,23352,151,0.65%,25579.0,-,-,23345,23352,23996,22039,,
TX,202501  ,23358,23380,23285,23326,0,0.00%,27231.0,23326,74328,23326,23329,23996,22039,,
TX,202501  ,23336,23421,23274,23327,1,0.00%,10266.0,-,-,23317,23328,23996,22039,,
TX,202501  ,23194,23378,23148,23372,46,0.20%,43009.0,23372,73146,23372,23377,23996,22039,,
TX,202501  ,23306,23357,23203,23255,-71,-0.30%,30690.0,-,-,23255,23258,23996,22039,,
TX,202501  ,23202,23324,23154,23177,-195,-0.83%,37022.0,23171,73059,23174,23177,23996,22039,,
TX,202501  ,23382,23391,23089,23214,-158,-0.68%,47822.0,-,-,23205,23210,23996,22039,,
TX,202501  ,22998,23110,22955,23041,-130,-0.56%,48455.0,23044,72625,23041,23046,23996,22039,,
TX,202501  ,23150,23195,22920,23046,-125,-0.54%,46961.0,-,-,23033,23044,23996,22039,,
